,City,Job title,Company name,Location,Salary,og_salary_period,salary_category,above_med_sal,technical skills
31,Toronto,AVP Data Sciences - Enterprise Analytics,Aviva,"Markham, ON",,,no category,,python r_lang statistics algorithm algorithms
32,Toronto,"Senior Analyst, Analytics",Cancer Care Ontario,"Toronto, ON",,,no category,,statistics sql databases sas
33,Toronto,Data Scientist,Dealer-FX,"Markham, ON",,,no category,,machine_learning excel visualization sql mathematics agile database sas etl
34,Toronto,Data Steward I,TD Bank,"Toronto, ON",,,no category,,
35,Toronto,"Junior DevOps Administrator, Data Science",Ontario Institute for Cancer Research,"Toronto, ON",,,no category,,r_lang git linux unix sql ruby agile perl php database cloud
36,Toronto,"Data Scientist, Senior",EY,"Toronto, ON",,,no category,,tableau python scala rest java r_lang statistics git machine_learning visualization hadoop deep_learning sql agile database tensorflow spark nlp sas
37,Toronto,Data Scientist,BBM,"Mississauga, ON",,,no category,,python communication_skills cpp_lang scala java logistic_regression statistics machine_learning random_forests hadoop hive c_lang perl pig cloud spark nlp
38,Toronto,Data Engineer,StackAdapt,"Toronto, ON",,,no category,,python aws scala hbase machine_learning nosql databases etl
39,Toronto,Data Scientist,Benelux Tek,"Mississauga, ON",,,no category,,python communication_skills data_visualization statistics visualization sql written_communication natural_language_processing data_mining database cloud
40,Toronto,Data Scientist,BBM Canada,"Mississauga, ON",,,no category,,python cpp_lang scala java logistic_regression machine_learning random_forests hadoop hive c_lang pig cloud spark nlp algorithms
41,Toronto,Research Intern,BEworks,"Toronto, ON",,,no category,,go marketing statistics
42,Toronto,DATA SCIENTIST (DIGITAL & DATA SCIENCE),The Globe and Mail,"Toronto, ON",,,no category,,python communication_skills scala java statistics machine_learning artificial_intelligence deep_learning nlp
43,Toronto,Customer Facing Data Scientist (Toronto),DataRobot,"Toronto, ON",,,no category,,python machine_learning hadoop scripting
44,Toronto,"Data Scientist, AML",BMO Financial Group,"Toronto, ON",,,no category,,statistics mathematics data_mining project_management sas
45,Toronto,Data Scientist,LoyaltyOne,"Toronto, ON",,,no category,,tableau python aws scala java marketing statistics machine_learning visualization shell_scripting sql mathematics scripting cloud spark algorithms
46,Toronto,Data Scientist - Fraud Detection & Cyber Security,RBC,"Toronto, ON",,,no category,,python scala r_lang machine_learning hadoop mathematics spark algorithms
47,Toronto,"Data Scientist specializing in text analytics located in Toronto, Canada.",Abacus Data Systems,"Toronto, ON",,,no category,,statistics machine_learning artificial_intelligence mathematics natural_language_processing agile cloud nlp algorithms
48,Toronto,Data Scientist,Rogers Communications,"Brampton, ON",,,no category,,tableau python communication_skills aws statistics machine_learning api hadoop mapreduce hive sql mathematics nosql javascript databases agile scripting cloud spark algorithms
49,Toronto,Big Data Engineer,4FMV Inc.,"Toronto, ON",,,no category,,tableau python communication_skills scala java visualization hadoop mapreduce hive sql spark
50,Toronto,Data Science Training - Lecturer,TranQuant Inc.,"Toronto, ON",,,no category,,machine_learning
51,Toronto,Data Scientist,Sun Life Financial,"Toronto, ON",,,no category,,python machine_learning deep_learning sql database sas
52,Toronto,Data Scientist,Decision Resources Group,"Toronto, ON",,,no category,,statistics machine_learning hadoop databases agile algorithm spark
53,Toronto,Data Scientist,Unata Inc.,"Toronto, ON",,,no category,,python scala machine_learning pandas unix hadoop mathematics algorithm spark algorithms
54,Toronto,Scientist I/II Translational Immunology (Toronto),BlueRock Therapeutics,"Toronto, ON",,,no category,,
55,Toronto,"Data Scientist, Financial Services",SAS Institute,"Toronto, ON",,,no category,,python r_lang marketing hadoop sas
56,Toronto,People Data Scientist,Capital One,"Toronto, ON",,,no category,,tableau python aws data_visualization scala r_lang logistic_regression git machine_learning api visualization sql databases database tensorflow
57,Toronto,Data Analyst - Marketing,Format,"Toronto, ON",,,no category,,python data_visualization marketing pandas visualization sql ruby javascript
58,Toronto,Data Scientist,Investment Industry Regulatory Organization of Can...,"Toronto, ON",,,no category,,python communication_skills hbase java statistics machine_learning visualization hadoop hive sql written_communication data_mining databases spark algorithms
59,Toronto,"Manager, Data Science",Deloitte,"Toronto, ON",,,no category,,communication_skills r_lang statistics hadoop spss sql mathematics written_communication data_mining project_management database sas etl
60,Toronto,"Client Analyst - PriceMetrix, New Ventures",McKinsey & Company,"Toronto, ON",,,no category,,excel sql databases project_management
61,Toronto,Student Research Collaboration,Google,"Toronto, ON",,,no category,,python matlab java machine_learning neural_networks artificial_intelligence deep_learning natural_language_processing data_mining
62,Toronto,Data Analyst / Scientist (R Language),Solutia SDO,"Toronto, ON",,,no category,,etl
63,Toronto,Director of Artificial Intelligence and Machine Learning - Toronto Canada,LG Electronics,"Toronto, ON",,,no category,,python matlab scala java machine_learning artificial_intelligence hadoop deep_learning natural_language_processing data_mining project_management tensorflow spark nlp algorithms
64,Toronto,Machine Learning Researcher,RBC,"Toronto, ON",,,no category,,python statistics machine_learning artificial_intelligence unix visualization hadoop deep_learning sql nosql natural_language_processing databases scripting tensorflow spark algorithms
65,Toronto,"Manager, Data Scientist, Data Analytics",BMO Financial Group,"Toronto, ON",,,no category,,tableau python communication_skills r_lang statistics machine_learning mathematics natural_language_processing agile nlp
66,Toronto,Data Engineer,Knowtions,"Toronto, ON",,,no category,,python aws scala java machine_learning api cassandra hadoop deep_learning hive tensorflow spark
67,Toronto,Data Scientist,AbCelex Technologies Inc.,"Mississauga, ON",,,no category,,python java r_lang machine_learning linux neural_networks unix visualization sql mathematics databases perl algorithm database scripting cloud algorithms
68,Toronto,Associate,BEworks,"Toronto, ON",,,no category,,python go r_lang marketing spss project_management database
69,Toronto,Data Developer,Ruby,"Toronto, ON",,,no category,,python data_visualization marketing statistics machine_learning cassandra linux visualization data_mining ruby php database spark
70,Toronto,Data Scientist/Bio Informatics Specialist,SCIEX,"Concord, ON",,,no category,,machine_learning
71,Toronto,Data Scientist/Bio Informatics Specialist,AB Sciex Pte,"Concord, ON",,,no category,,machine_learning
72,Toronto,Data Architect,KPMG LLP,"Toronto, ON",,,no category,,tableau python marketing machine_learning sql nosql ruby database scripting etl
73,Toronto,Marketing Data Analyst / SQL Analyst,TripElephant,"Toronto, ON",,,no category,,tableau python data_visualization marketing statistics git machine_learning visualization sql databases algorithms
74,Toronto,Senior Data Scientist,RBC,"Toronto, ON",,,no category,,python java statistics machine_learning linux hadoop hive shell_scripting sql mathematics nosql data_mining databases agile scripting pig spark
75,Toronto,Senior Data Scientist,Canadian Tire Corporation,"Toronto, ON",,,no category,,python communication_skills scala hbase rest java r_lang marketing statistics machine_learning hadoop mapreduce hive sql mathematics pig spark algorithms etl
76,Toronto,Senior Data Scientist,Loblaw Digital,"Toronto, ON",,,no category,,python communication_skills hbase java marketing statistics machine_learning hadoop mapreduce hive data_mining scripting algorithms
77,Toronto,Senior Data Scientist,CIBC,"Toronto, ON",,,no category,,python go statistics machine_learning pandas mapreduce hive sql mathematics
78,Toronto,Software Developer Intern,BrainVision Market Analytics Inc.,"Markham, ON",,,no category,,scala sql javascript databases database
79,Toronto,Data Scientist,Rubikloud Technologies,"Toronto, ON",,,no category,,python machine_learning artificial_intelligence hadoop sql mathematics algorithm database linear_regression cloud spark
80,Toronto,Senior Manager -Data Science,KPMG Services Limited,"Toronto, ON",,,no category,,tableau python matlab data_visualization r_lang statistics machine_learning artificial_intelligence visualization hadoop sql mathematics database tensorflow spark
81,Toronto,BI QA Developer - PriceMetrix,McKinsey & Company,"Toronto, ON",,,no category,,java chash_lang chash_lang sql databases agile database etl
82,Toronto,Senior Data Scientist,407 ETR,"Woodbridge, ON",,,no category,,python communication_skills r_lang marketing statistics machine_learning visualization mathematics project_management sas
83,Toronto,"Senior Data Scientist, Customer Analytics",Canadian Tire Corporation,"Toronto, ON",,,no category,,python java marketing statistics hadoop sql project_management spark sas
84,Toronto,"Senior Data Scientist, Manager",EY,"Toronto, ON",,,no category,,tableau python scala rest java r_lang statistics git machine_learning visualization hadoop deep_learning sql agile database tensorflow cloud spark nlp sas
85,Toronto,Hadoop Data Engineer,Bell,"Toronto, ON",,,no category,,rest java hadoop hive pig spark etl
86,Toronto,Python Developer,Qublix Games,"Toronto, ON",,,no category,,python linux sql mathematics algorithms
87,Toronto,"Director, Analytics Validation",Sun Life Financial,"Toronto, ON",,,no category,,python machine_learning hadoop deep_learning spark sas algorithms
88,Toronto,Senior Data Scientist,Rogers Communications,"Brampton, ON",,,no category,,tableau python communication_skills aws statistics machine_learning api hadoop mapreduce hive sql mathematics nosql javascript databases agile scripting cloud spark algorithms
89,Toronto,Business Analyst,Eddy Home,"Toronto, ON",,,no category,,communication_skills written_communication
90,Toronto,"Manager, Data Services",Scotiabank,"Toronto, ON",,,no category,,tableau communication_skills sql data_mining agile project_management database scripting sas
91,Toronto,Associate Data Scientist,PointClickCare,"Mississauga, ON",,,no category,,tableau python communication_skills r_lang statistics visualization spss sql mathematics data_mining database cloud sas algorithms
92,Toronto,ML Engineer,Telus Digital,"Toronto, ON",,,no category,,python scala java machine_learning linux shell_scripting mathematics javascript agile scripting cloud
93,Toronto,Hadoop Engineer,Bell,"Toronto, ON",,,no category,,python communication_skills scala rest java hadoop shell_scripting agile scripting spark sas etl
94,Toronto,"Director of Analytics, Peru",Scotiabank,"Toronto, ON",,,no category,,tableau python go hbase r_lang marketing statistics machine_learning cassandra artificial_intelligence visualization hadoop hive sql mathematics nosql data_mining databases agile pig spark algorithms
95,Toronto,Big Data Business Intelligence and Reporting Business Analyst (AVP level),Citi,"Mississauga, ON",,,no category,,tableau communication_skills go sql agile project_management
96,Toronto,Business Intelligence (BI) Developer,MedReleaf Corp.,"Markham, ON",,,no category,,tableau data_visualization visualization mathematics agile database etl
97,Toronto,Senior Data Scientist - Machine Learning,Savormetrics Inc.,"Mississauga, ON",,,no category,,python machine_learning neural_networks artificial_intelligence deep_learning mathematics databases agile tensorflow algorithms
98,Toronto,CAPCO Data Scientist,CAPCO,"Toronto, ON",,,no category,,tableau python matlab communication_skills aws data_visualization statistics machine_learning visualization hadoop sql databases database tensorflow cloud sas
99,Toronto,Peter Munk Cardiac Centre Artificial Intelligence/UHN Scientist,University Health Network,"Toronto, ON",,,no category,,machine_learning artificial_intelligence deep_learning natural_language_processing databases algorithm
100,Toronto,Data Scientist,Eagle Professional Resources,"Toronto, ON",,,no category,,
101,Toronto,Data Scientist,The Delivery Group,"Toronto, ON",,,no category,,tableau python matlab java r_lang statistics machine_learning hadoop spss sql data_mining databases sas algorithms
102,Toronto,"Electronics Manufacturing Machine Learning Consultant, Electronics CoC",IBM,"Toronto, ON",,,no category,,python logistic_regression statistics machine_learning neural_networks artificial_intelligence deep_learning mathematics data_mining tensorflow spark algorithms
103,Toronto,"Lead Data Scientist, AML",BMO Financial Group,"Toronto, ON",,,no category,,go statistics mathematics data_mining project_management sas
104,Toronto,"Senior Data Scientist, Chemometrics",Savormetrics Inc.,"Mississauga, ON",,,no category,,python machine_learning neural_networks artificial_intelligence deep_learning mathematics databases agile tensorflow algorithms
105,Toronto,"Vice President, Information Technology",Opta Information Intelligence LP,"Markham, ON",,,no category,,communication_skills
106,Toronto,Clinical Research Scientist (CRS) - Oncology,Eli Lilly,"Toronto, ON",,,no category,,
107,Toronto,Data Scientist,Michael Page International,"Toronto, ON",,,no category,,python r_lang marketing statistics unix hadoop hive sql mathematics data_mining databases spark sas
108,Toronto,TEST AND VALIDATION ENGINEER I-II,Morgan Solar Inc.,"Toronto, ON",,,no category,,python statistics excel c_lang chash_lang
109,Toronto,"Junior QA Analyst, Maya",Autodesk,"Toronto, ON",,,no category,,python communication_skills excel linux database scripting
110,Toronto,Senior Business Intelligence Developer,Scotiabank,"Toronto, ON",,,no category,,tableau communication_skills hadoop sql data_mining agile project_management database etl
111,Toronto,"Scientist, Precision Medicine",Robarts Clinical Trials,"Toronto, ON",,,no category,,sas
112,Toronto,Senior Applied Research Scientist,Georgian Partners,"Toronto, ON",,,no category,,python aws r_lang statistics machine_learning pandas visualization deep_learning sql mathematics natural_language_processing scripting tensorflow cloud algorithms
113,Toronto,Senior Data Scientist,Precima,"Toronto, ON",,,no category,,python marketing statistics machine_learning sql mathematics sas
114,Toronto,Data Scientist - Predictive Modeller (11425),emergiTEL Inc.,"Toronto, ON",,,no category,,python r_lang marketing machine_learning unix sql data_mining databases spark sas
115,Toronto,Product Development Scientist,Fluidigm,"Markham, ON",,,no category,,excel
116,Toronto,Engine Performance Analyst / Data Scientist,Aviya Aerospace Systems,"Mississauga, ON",,,no category,,python communication_skills r_lang machine_learning chash_lang chash_lang sql mathematics written_communication database algorithms
117,Toronto,Senior Marketing Analyst - Base Marketing,FreshBooks,"Toronto, ON",,,no category,,tableau python marketing excel sql
118,Toronto,Research Scientist - NLP,Thomson Reuters,"Toronto, ON",,,no category,,python matlab communication_skills scala hbase java machine_learning artificial_intelligence hadoop hive nosql written_communication natural_language_processing perl pig spark algorithms
119,Toronto,Health Outcomes Scientist,GlaxoSmithKline,"Mississauga, ON",,,no category,,marketing databases project_management
120,Toronto,"Principal Software Engineer, Analytics",Zynga,"Toronto, ON",,,no category,,python communication_skills aws java machine_learning api visualization sql nosql data_mining database cloud etl
121,Toronto,"Principal Software Engineer (Analytics, UA)",Zynga,"Toronto, ON",,,no category,,communication_skills java machine_learning visualization sql nosql data_mining database cloud etl
122,Toronto,Sr. Research Scientist (Machine Learning / Prediction),Swift Medical,"Toronto, ON",,,no category,,python go aws statistics machine_learning hadoop deep_learning tensorflow cloud spark
123,Toronto,Post Doctoral Research Fellow,Lunenfeld-Tanenbaum Research Institute,"Toronto, ON",,,no category,,statistics
124,Toronto,Data Scientist - Predictive Modeler - 248055,Procom,"Toronto, ON",,,no category,,python r_lang marketing machine_learning unix sql data_mining databases spark sas
125,Toronto,Business Intelligence Developer,Ward Technology Talent Inc.,"Markham, ON",,,no category,,tableau data_visualization visualization mathematics agile database etl
126,Toronto,Data Engineer,EQ Works,"Toronto, ON",,,no category,,aws statistics machine_learning hadoop hive cloud spark algorithms
127,Toronto,R&D Lead Engineer - Machine Learning,MAPSTED CORP.,"Greater Toronto Area, ON",,,no category,,python communication_skills cpp_lang java marketing machine_learning deep_learning chash_lang chash_lang data_mining algorithm algorithms
128,Toronto,Research Analyst (DAS),Institute for Clinical Evaluative Sciences ('ICES'...,"Toronto, ON",,,no category,,communication_skills statistics excel sql databases project_management sas
129,Toronto,Innovation Developer Intern - Starting May 2018,LoyaltyOne,"Toronto, ON",,,no category,,python aws scala rest java git machine_learning api linux hadoop mapreduce c_lang sql nosql data_mining ruby javascript databases agile perl php scripting cloud spark algorithms
130,Toronto,Client Support Specialist - PriceMetrix,McKinsey & Company,"Toronto, ON",,,no category,,excel agile
131,Toronto,Translational Research Associate,Trillium Therapeutics,"Toronto, ON",,,no category,,
132,Toronto,Executive Assistant,Cardinal Path,"Toronto, ON",,,no category,,go marketing written_communication
133,Toronto,ASSOCIATE SCIENTIST - VIE Contract (W/M),Sanofi US,"Toronto, ON",,,no category,,communication_skills
134,Toronto,4850 ASSOCIATE SCIENTIST I - CA,Luminex,"Toronto, ON",,,no category,,go
135,Toronto,Software Development Engineer,Amazon.com,"Toronto, ON",,,no category,,python java linux unix mathematics data_mining ruby databases agile cloud algorithms
136,Toronto,Senior Data Engineer,RBC,"Toronto, ON",,,no category,,python scala java machine_learning cassandra hadoop agile cloud spark
137,Toronto,Data Scientist,GuruLink,"Mississauga, ON",,,no category,,python rnns java r_lang logistic_regression machine_learning random_forests hadoop hive perl scripting pig nlp algorithms
138,Toronto,"Senior Director, Data Science",Loblaw Digital,"Toronto, ON",,,no category,,tableau communication_skills data_visualization hbase marketing statistics machine_learning visualization hadoop mapreduce hive data_mining spark
139,Toronto,"Associate, Corporate Development",Element AI,"Toronto, ON",,,no category,,machine_learning excel artificial_intelligence agile
140,Toronto,Big Data Platform Post Trade Gateway Developer (AVP level),Citi,"Mississauga, ON",,,no category,,communication_skills java linux hadoop databases spark
141,Toronto,Quality Control Analyst (Toronto),BlueRock Therapeutics,"Toronto, ON",,,no category,,communication_skills excel database
142,Toronto,"AI / Machine Learning Scientist – Toronto, Canada AI Lab",LG Electronics,"Toronto, ON",,,no category,,python scala java statistics machine_learning hadoop deep_learning tensorflow spark algorithms
143,Toronto,Post Doctoral Fellow - TRAIL Lab,Holland Bloorview Kids Rehabilitation Hospital,"Toronto, ON",,,no category,,communication_skills excel spss
144,Toronto,Research Programmer / Research Scientist - NLP/NLG,geekspeak,"Whitby, ON",,,no category,,communication_skills cpp_lang java statistics machine_learning artificial_intelligence chash_lang chash_lang natural_language_processing data_mining nlp algorithms
145,Toronto,Technical Product Manager - PriceMetrix,McKinsey & Company,"Toronto, ON",,,no category,,sql agile etl
146,Toronto,Senior Data Scientist/ Engineer,MAPSTED CORP.,"Greater Toronto Area, ON",,,no category,,python communication_skills cpp_lang java marketing machine_learning deep_learning chash_lang chash_lang mathematics data_mining
147,Toronto,"Senior Consultant, Information Management Services, Forensic Tech.",KPMG Services Limited,"Toronto, ON",,,no category,,communication_skills marketing excel project_management
148,Toronto,"Director, Data Science",Sun Life Financial,"Toronto, ON",,,no category,,tableau python machine_learning excel visualization hadoop deep_learning sql agile database sas algorithms
149,Toronto,Health Outcomes Scientist,GSK Belgium,"Mississauga, ON",,,no category,,marketing databases project_management
150,Toronto,"Analyst, Strategy and Investment Management",Xaxis,"Toronto, ON",,,no category,,java marketing
151,Toronto,Assistant Brand Manager,ecobee,"Toronto, ON",,,no category,,go marketing agile project_management
152,Toronto,Firmware Engineer,Myant,"Etobicoke, ON",,,no category,,python machine_learning linux c_lang cloud algorithms
153,Toronto,Client Services Officer / Dispatcher,Eddy Home,"Toronto, ON",,,no category,,communication_skills go excel written_communication
154,Toronto,Sr. Research Scientist (Machine Learning / Perception),Swift Medical,"Toronto, ON",,,no category,,python go aws statistics machine_learning hadoop deep_learning tensorflow cloud spark
155,Toronto,Synthetic Organic Chemist,Toronto Research Chemicals Inc,"Toronto, ON",,,no category,,
156,Toronto,Machine Learning Engineer,Fathom Health,"Toronto, ON",,,no category,,machine_learning deep_learning tensorflow cloud nlp
157,Toronto,Admin Assistant,SickKids,"Toronto, ON",,,no category,,marketing excel database
158,Toronto,Big Data Lead Developer (VP level),Citi,"Mississauga, ON",,,no category,,communication_skills hbase java linux unix hadoop spark
159,Toronto,Scientist 1,Thermo Fisher Scientific,"Toronto, ON",,,no category,,communication_skills excel
160,Toronto,Strategy & Investment Analyst,Xaxis,"Toronto, ON",,,no category,,java marketing
161,Toronto,"Manager, Business Analytics and Reporting",BMO Financial Group,"Toronto, ON",,,no category,,communication_skills data_visualization excel visualization sql mathematics javascript agile database
162,Toronto,"Scientist, Zero Gravity Labs",LoyaltyOne,"Toronto, ON",,,no category,,go aws statistics machine_learning data_mining databases agile algorithm scripting cloud spark algorithms
163,Toronto,"Intermediate Environmental Engineer / Scientist - Markham, ON",SLR Consulting (Canada) Ltd,"Markham, ON",,,no category,,communication_skills
164,Toronto,Financial Reporting Analyst,Xaxis,"Toronto, ON",,,no category,,communication_skills marketing excel written_communication
165,Toronto,Senior Data Scientist,BeachHead Inc,"Toronto, ON",,,no category,,statistics machine_learning artificial_intelligence spark sas
166,Toronto,Compliance Testing Analyst,Capital One,"Toronto, ON",,,no category,,communication_skills agile
167,Toronto,"Computer Science High School Co-op - Summer (Markham, ON)",IBM,"Markham, ON",,,no category,,python artificial_intelligence ruby
168,Toronto,Cyber Threat Hunting Specialist,RBC,"Toronto, ON",,,no category,,python
169,Toronto,Post-Doctoral Fellow (Immunology),University of Toronto,"Toronto, ON",,,no category,,
170,Toronto,Epidemiologist (DAS),Institute for Clinical Evaluative Sciences ('ICES'...,"Toronto, ON",,,no category,,communication_skills excel databases project_management sas
171,Toronto,Senior Analytics Architect,Career Edge Organization,"Toronto, ON",,,no category,,tableau python communication_skills aws scala java machine_learning api excel visualization hadoop mapreduce hive sql mathematics nosql cloud spark etl
172,Toronto,Technologist,Sanofi US,"Toronto, ON",,,no category,,excel
173,Toronto,Talent Acquisition Lead,Drop,"Toronto, ON",,,no category,,marketing
174,Toronto,Junior Environmental Engineer/Scientist,GHD,"Mississauga, ON",,,no category,,written_communication project_management
175,Toronto,Software Engineer,Zynga,"Toronto, ON",,,no category,,python communication_skills go aws java statistics machine_learning api visualization sql nosql data_mining php database cloud
176,Toronto,Transportation (Traffic) Engineering Technologist,Dillon Consulting,"Toronto, ON",,,no category,,
177,Toronto,"Project Manager, Strategic Partnerships",Institute for Clinical Evaluative Sciences,"Toronto, ON",,,no category,,excel project_management
178,Toronto,Principal Software Engineer- Player Optimization,Zynga,"Toronto, ON",,,no category,,python communication_skills go aws java statistics machine_learning api visualization sql nosql data_mining php database cloud
179,Toronto,Software Tester,Fluidigm,"Markham, ON",,,no category,,python matlab communication_skills cpp_lang r_lang git excel written_communication agile algorithm
180,Toronto,Full Stack Developer - Pipeline,EQ Works,"Toronto, ON",,,no category,,python go aws scala java git machine_learning sql ruby cloud
181,Toronto,AI / Machine Learning Scientist – Toronto AI Lab,LG Electronics,"Toronto, ON",,,no category,,python matlab scala java statistics machine_learning hadoop deep_learning tensorflow spark algorithms
182,Toronto,Database Administrator,LoyaltyOne,"Toronto, ON",,,no category,,tableau python aws rest r_lang marketing machine_learning api linux sql databases database cloud sas
183,Toronto,Workforce Analyst,Dillon Consulting,"Toronto, ON",,,no category,,communication_skills excel data_mining databases
184,Toronto,Returns Receiver,Dyson,"Toronto, ON",,,no category,,communication_skills
185,Toronto,Engineer Rail,HDR,"Richmond Hill, ON",,,no category,,communication_skills
186,Toronto,"Associate Director, Data Scientist",LoyaltyOne,"Toronto, ON",,,no category,,tableau python aws scala decision_trees java marketing statistics machine_learning ensemble_methods visualization shell_scripting sql mathematics data_mining scripting cloud spark nlp algorithms
187,Toronto,Environmental Scientist/Engineer or Technologist,exp,"Brampton, ON",,,no category,,communication_skills written_communication
188,Toronto,"Technical Product Manager, Accurate Mass",AB Sciex Pte,"Concord, ON",,,no category,,marketing
189,Toronto,"Technical Product Manager, Accurate Mass",SCIEX,"Concord, ON",,,no category,,marketing
190,Toronto,Salon Channel Sales Manager,Dyson,"Toronto, ON",,,no category,,communication_skills marketing excel
191,Toronto,Senior Manager Business Insight Analyst,TD Bank,"Toronto, ON",,,no category,,communication_skills marketing statistics excel sql mathematics sas
192,Toronto,Scientific Leader (Biological Chemistry),SGS,"Mississauga, ON",,,no category,,communication_skills excel written_communication
193,Toronto,Jr. Environmental Aquatic Scientist – Innovative Technologies,Hire Results Ltd.,"Greater Toronto Area, ON",,,no category,,communication_skills project_management
194,Toronto,Jr. Environmental Scientist - Aquatic Biologist,Hire Results Ltd.,"Greater Toronto Area, ON",,,no category,,communication_skills excel project_management
195,Toronto,Agile Project Manager - PriceMetrix,McKinsey & Company,"Toronto, ON",,,no category,,communication_skills agile project_management
196,Toronto,Senior Analytics Architect,Rogers Communications,"Brampton, ON",,,no category,,tableau python communication_skills aws scala java statistics machine_learning api excel visualization hadoop mapreduce hive sql mathematics nosql javascript cloud spark etl
197,Toronto,"Electronics Manufacturing Machine Learning Senior Consultant, CoC",IBM,"Toronto, ON",,,no category,,python logistic_regression statistics machine_learning neural_networks deep_learning mathematics tensorflow spark algorithms
